"Reference","Qty","Value"
"C1,C3,C4","3","22μF"
"C2","1","0.1μF"
"C5","1","0.1μF"
"C6","1","22nF"
"C7","1","300pF"
"C8,C9","2","1uF"
"C10,C11,C12,C13,C14,C15,C16,C17,C21,C26,C27,C28,C33","13","100nF"
"C18,C30","2","1µF"
"C19,C20","2","2.2µF"
"C22,C23","2","22pF"
"C24,C25","2","18pF"
"C29","1","470pF"
"C31,C32,C35","3","100nF"
"C34","1","10uF"
"D1","1","SMAJ15A"
"D2","1","SRV05-4"
"D3","1","SM712_SOT23"
"F1","1","1A Fuse"
"FL1,FL2,FL3","3","BLM18AG601SN1D"
"J1","1","DC Barrel Jack (5.5 × 2.1mm)"
"J2","1","Conn_01x05"
"J3","1","Conn_01x02"
"J4","1","RJ45_Hanrun_HR911105A_Horizontal"
"J5","1","Screw_Terminal_01x02"
"J6","1","DM3AT-SF-PEJM5"
"L1","1","6.8μH"
"Q1","1","AO3407A"
"R1,R6","2","100k"
"R2,R3,R7,R8,R9,R16,R17","7","10k"
"R4","1","191k"
"R5","1","49.9k"
"R10","1","12.1k"
"R11,R12","2","330"
"R13,R14","2","680"
"R15","1","120"
"SW1","1","SW_Push"
"U1","1","MP2338GTL"
"U2","1","TLV76733DRVR"
"U3","1","STM32F407VGTx"
"U4","1","SMD3225"
"U5","1","LAN8742A"
"U6","1","MAX3485ESA_T"
"Y1","1","ABM8G-25.000MHZ-B4Y-T3"
